coluna,n_linhas_total,n_linhas_com_pipe,tem_pipe,classificacao_legado,decisao_legado_normalizada,atributo_canonico_contrato,cardinalidade_operacional,estrategia_pipe_contrato,status_match_contrato,divergencia_legado_vs_contrato,deve_preservar_pipe,deve_tratar_select_multiple,exige_relevance_elegibilidade,eh_ambiguo_ou_fora_contrato
COLETA,23634,0,FALSE,pipe_indeterminado,diagnosticar_indeterminado_nao_forcar,coleta,fora_do_contrato,diagnosticar_fora_do_contrato,fora_do_contrato,TRUE,FALSE,FALSE,FALSE,TRUE
DATA DO REGISTRO,23634,0,FALSE,pipe_indeterminado,diagnosticar_indeterminado_nao_forcar,data_do_registro,fora_do_contrato,diagnosticar_fora_do_contrato,fora_do_contrato,TRUE,FALSE,FALSE,FALSE,TRUE
DATA DO RECEBIMENTO,23634,0,FALSE,pipe_indeterminado,diagnosticar_indeterminado_nao_forcar,data_do_recebimento,fora_do_contrato,diagnosticar_fora_do_contrato,fora_do_contrato,TRUE,FALSE,FALSE,FALSE,TRUE
ULTIMA EDICAO,23634,0,FALSE,pipe_indeterminado,diagnosticar_indeterminado_nao_forcar,ultima_edicao,fora_do_contrato,diagnosticar_fora_do_contrato,fora_do_contrato,TRUE,FALSE,FALSE,FALSE,TRUE
PROTOCOLO,23634,0,FALSE,pipe_indeterminado,diagnosticar_indeterminado_nao_forcar,protocolo,fora_do_contrato,diagnosticar_fora_do_contrato,fora_do_contrato,TRUE,FALSE,FALSE,FALSE,TRUE
UC,23634,0,FALSE,pipe_residual_revisar,resolver_por_ponto_absoluto_permitido,amostragem/registro/uc,estruturado_completo_por_ponto,resolver_por_ponto_absoluto_permitido,alias,FALSE,FALSE,FALSE,FALSE,FALSE
CICLO,23634,0,FALSE,pipe_indeterminado,diagnosticar_indeterminado_nao_forcar,ciclo,fora_do_contrato,diagnosticar_fora_do_contrato,fora_do_contrato,TRUE,FALSE,FALSE,FALSE,TRUE
CAMPANHA,23634,0,FALSE,pipe_indeterminado,diagnosticar_indeterminado_nao_forcar,campanha,fora_do_contrato,diagnosticar_fora_do_contrato,fora_do_contrato,TRUE,FALSE,FALSE,FALSE,TRUE
EA,23634,0,FALSE,pipe_indeterminado,diagnosticar_indeterminado_nao_forcar,amostragem/registro/estacao_amostral,estruturado_completo_por_ponto,resolver_por_ponto_absoluto_permitido,alias,TRUE,FALSE,FALSE,FALSE,FALSE
UA,23634,0,FALSE,pipe_indeterminado,diagnosticar_indeterminado_nao_forcar,amostragem/registro/unidade_amostral,estruturado_completo_por_ponto,resolver_por_ponto_absoluto_permitido,alias,TRUE,FALSE,FALSE,FALSE,FALSE
