dimensao,categoria,n_colunas,n_colunas_com_pipe
cardinalidade,fora_do_contrato,13,0
cardinalidade,estruturado_completo_por_ponto,5,0
cardinalidade,,35,0
cardinalidade,tecnico_midia,16,0
cardinalidade,texto_livre,54,0
cardinalidade,select_multiple,26,0
cardinalidade,estruturado_condicional_esparso,29,0
cardinalidade,ambiguo_indeterminado,3,0
decisao_contrato,diagnosticar_fora_do_contrato,13,0
decisao_contrato,resolver_por_ponto_absoluto_permitido,5,0
decisao_contrato,diagnosticar_sem_match_nao_forcar,33,0
decisao_contrato,nao_inferir_sem_regra_explicita,16,0
decisao_contrato,preservar_texto_livre,54,0
decisao_contrato,tratar_como_conjunto_tokens,26,0
decisao_contrato,resolver_por_elegibilidade_relevance_necessaria,29,0
decisao_contrato,diagnosticar_ambiguo_nao_forcar,5,0
decisao_legado,pipe_indeterminado,101,0
decisao_legado,pipe_residual_revisar,3,0
decisao_legado,pipe_residual_operacional,31,0
decisao_legado,pipe_permitido_texto_livre,22,0
decisao_legado,pipe_residual_tecnico_tolerado,24,0
divergencia,TRUE,146,0
divergencia,FALSE,35,0
risco,baixo_ou_sem_pipe,181,0
acao_recomendada,diagnosticar_nao_migrar,51,0
acao_recomendada,seguro_manter_resolucao_por_ponto,5,0
acao_recomendada,revisar_manualmente,16,0
acao_recomendada,seguro_preservar_como_esta,54,0
acao_recomendada,revisar_antes_de_migrar_tratar_como_conjunto,26,0
acao_recomendada,aguardar_contexto_relevance_antes_de_migrar,29,0
